v1	V(n001)	V(n002)	Id(M1)
Step Information: V2=-500m  (Run: 1/51)
1.799999999999999e-001	1.800000e-001	-2.600000e-001	5.764740e-011
2.200000000000000e-001	2.200000e-001	-2.600000e-001	8.202655e-011
2.600000000000000e-001	2.600000e-001	-2.600000e-001	1.153787e-010
2.999999999999999e-001	3.000000e-001	-2.600000e-001	1.606416e-010
3.399999999999999e-001	3.400000e-001	-2.600000e-001	2.216377e-010
3.799999999999999e-001	3.800000e-001	-2.600000e-001	3.033268e-010
4.199999999999999e-001	4.200000e-001	-2.600000e-001	4.121260e-010
4.599999999999999e-001	4.600000e-001	-2.600000e-001	5.563172e-010
4.999999999999998e-001	5.000000e-001	-2.600000e-001	7.465635e-010
5.399999999999998e-001	5.400000e-001	-2.600000e-001	9.965636e-010
5.799999999999999e-001	5.800000e-001	-2.600000e-001	1.323881e-009
6.199999999999999e-001	6.200000e-001	-2.600000e-001	1.750990e-009
6.599999999999999e-001	6.600000e-001	-2.600000e-001	2.306598e-009
7.000000000000000e-001	7.000000e-001	-2.600000e-001	3.027316e-009
7.400000000000000e-001	7.400000e-001	-2.600000e-001	3.959759e-009
7.800000000000000e-001	7.800000e-001	-2.600000e-001	5.163189e-009
8.200000000000001e-001	8.200000e-001	-2.600000e-001	6.712849e-009
8.600000000000001e-001	8.600000e-001	-2.600000e-001	8.704144e-009
9.000000000000001e-001	9.000000e-001	-2.600000e-001	1.125789e-008
9.400000000000002e-001	9.400000e-001	-2.600000e-001	1.452692e-008
9.800000000000002e-001	9.800000e-001	-2.600000e-001	1.870432e-008
1.020000000000000e+000	1.020000e+000	-2.600000e-001	2.403385e-008
1.060000000000000e+000	1.060000e+000	-2.600000e-001	3.082312e-008
1.100000000000000e+000	1.100000e+000	-2.600000e-001	3.946140e-008
1.140000000000000e+000	1.140000e+000	-2.600000e-001	5.044658e-008
1.180000000000000e+000	1.180000e+000	-2.600000e-001	6.443353e-008
1.220000000000000e+000	1.220000e+000	-2.600000e-001	8.233009e-008
1.260000000000001e+000	1.260000e+000	-2.600000e-001	1.054889e-007
1.300000000000001e+000	1.300000e+000	-2.600000e-001	1.360703e-007
1.340000000000001e+000	1.340000e+000	-2.600000e-001	1.776801e-007
1.380000000000001e+000	1.380000e+000	-2.600000e-001	2.364035e-007
1.420000000000001e+000	1.420000e+000	-2.600000e-001	3.223667e-007
1.460000000000001e+000	1.460000e+000	-2.600000e-001	4.519438e-007
1.500000000000000e+000	1.500000e+000	-2.600000e-001	6.507018e-007
Step Information: V2=-220m  (Run: 8/51)
-5.000000000000000e-001	-5.000000e-001	-2.200000e-001	-4.604889e-005
-4.600000000000000e-001	-4.600000e-001	-2.200000e-001	-1.753605e-005
-4.200000000000000e-001	-4.200000e-001	-2.200000e-001	-6.095951e-006
-3.800000000000001e-001	-3.800000e-001	-2.200000e-001	-1.981203e-006
-3.400000000000001e-001	-3.400000e-001	-2.200000e-001	-6.023967e-007
-3.000000000000001e-001	-3.000000e-001	-2.200000e-001	-1.708091e-007
-2.600000000000001e-001	-2.600000e-001	-2.200000e-001	-4.556734e-008
-2.200000000000001e-001	-2.200000e-001	-2.200000e-001	-1.161020e-008
-1.800000000000001e-001	-1.800000e-001	-2.200000e-001	-2.862892e-009
-1.400000000000001e-001	-1.400000e-001	-2.200000e-001	-6.886818e-010
-1.000000000000001e-001	-1.000000e-001	-2.200000e-001	-1.611113e-010
-6.000000000000009e-002	-6.000000e-002	-2.200000e-001	-3.416954e-011
-2.000000000000009e-002	-2.000000e-002	-2.200000e-001	-1.394260e-012
1.999999999999991e-002	2.000000e-002	-2.200000e-001	9.070263e-012
