v1	I(R1)
9.300000000000089e-004	-8.327361e-005
9.400000000000090e-004	-8.417350e-005
9.500000000000090e-004	-8.507339e-005
9.600000000000090e-004	-8.597328e-005
9.700000000000091e-004	-8.687317e-005
9.800000000000091e-004	-8.777305e-005
9.900000000000091e-004	-8.867294e-005
1.000000000000009e-003	-8.957283e-005
1.010000000000009e-003	-9.047271e-005
1.020000000000009e-003	-9.137260e-005
1.030000000000009e-003	-9.227249e-005
1.040000000000009e-003	-9.317238e-005
1.050000000000009e-003	-9.407227e-005
1.060000000000009e-003	-9.497215e-005
1.070000000000009e-003	-9.587204e-005
1.080000000000009e-003	-9.677192e-005
1.090000000000009e-003	-9.767181e-005
1.100000000000009e-003	-9.857171e-005
1.110000000000009e-003	-9.947159e-005
1.120000000000009e-003	-1.003715e-004
1.130000000000010e-003	-1.012714e-004
1.140000000000010e-003	-1.021713e-004
1.150000000000010e-003	-1.030711e-004
1.160000000000010e-003	-1.039710e-004
1.170000000000010e-003	-1.048709e-004
1.180000000000010e-003	-1.057708e-004
1.190000000000010e-003	-1.066707e-004
1.200000000000010e-003	-1.075706e-004
1.210000000000010e-003	-1.084705e-004
1.220000000000010e-003	-1.093704e-004
1.230000000000010e-003	-1.102702e-004
1.240000000000010e-003	-1.111701e-004
1.250000000000010e-003	-1.120700e-004
1.260000000000010e-003	-1.129699e-004
1.270000000000010e-003	-1.138698e-004
1.280000000000010e-003	-1.147697e-004
1.290000000000010e-003	-1.156696e-004
1.300000000000010e-003	-1.165694e-004
1.310000000000010e-003	-1.174693e-004
1.320000000000010e-003	-1.183692e-004
1.330000000000010e-003	-1.192691e-004
1.340000000000010e-003	-1.201690e-004
1.350000000000010e-003	-1.210689e-004
1.360000000000010e-003	-1.219688e-004
1.370000000000010e-003	-1.228687e-004
1.380000000000010e-003	-1.237686e-004
1.390000000000010e-003	-1.246684e-004
1.400000000000010e-003	-1.255683e-004
1.410000000000010e-003	-1.264682e-004
1.420000000000010e-003	-1.273681e-004
1.430000000000010e-003	-1.282680e-004
1.440000000000010e-003	-1.291679e-004
1.450000000000010e-003	-1.300678e-004
1.460000000000010e-003	-1.309676e-004
1.470000000000010e-003	-1.318675e-004
1.480000000000010e-003	-1.327674e-004
1.490000000000010e-003	-1.336673e-004
1.500000000000010e-003	-1.345672e-004
1.510000000000011e-003	-1.354671e-004
1.520000000000011e-003	-1.363670e-004
1.530000000000011e-003	-1.372669e-004
1.540000000000011e-003	-1.381667e-004
1.550000000000011e-003	-1.390666e-004
1.560000000000011e-003	-1.399665e-004
1.570000000000011e-003	-1.408664e-004
1.580000000000011e-003	-1.417663e-004
1.590000000000011e-003	-1.426662e-004
1.600000000000011e-003	-1.433869e-004
1.610000000000011e-003	-1.432974e-004
1.620000000000011e-003	-1.432526e-004
1.630000000000011e-003	-1.432303e-004
1.640000000000011e-003	-1.432193e-004
1.650000000000011e-003	-1.432140e-004
1.660000000000011e-003	-1.432121e-004
1.670000000000011e-003	-1.432119e-004
1.680000000000011e-003	-1.432121e-004
1.690000000000011e-003	-1.432124e-004
1.700000000000011e-003	-1.432126e-004
1.710000000000011e-003	-1.432128e-004
1.720000000000011e-003	-1.432131e-004
1.730000000000011e-003	-1.432133e-004
1.740000000000011e-003	-1.432135e-004
1.750000000000011e-003	-1.432137e-004
1.760000000000011e-003	-1.432139e-004
1.770000000000011e-003	-1.432140e-004
1.780000000000011e-003	-1.432142e-004
1.790000000000011e-003	-1.432144e-004
1.800000000000011e-003	-1.432146e-004
1.810000000000011e-003	-1.432147e-004
1.820000000000011e-003	-1.432149e-004
1.830000000000011e-003	-1.432150e-004
1.840000000000011e-003	-1.432152e-004
1.850000000000011e-003	-1.432153e-004
1.860000000000011e-003	-1.432155e-004
1.870000000000011e-003	-1.432156e-004
1.880000000000011e-003	-1.432158e-004
1.890000000000012e-003	-1.432159e-004
1.900000000000012e-003	-1.432160e-004
1.910000000000012e-003	-1.432162e-004
1.920000000000012e-003	-1.432163e-004
1.930000000000012e-003	-1.432164e-004
1.940000000000012e-003	-1.432166e-004
1.950000000000012e-003	-1.432167e-004
1.960000000000012e-003	-1.432168e-004
1.970000000000012e-003	-1.432170e-004
1.980000000000012e-003	-1.432171e-004
1.990000000000012e-003	-1.432172e-004
2.000000000000012e-003	-1.432173e-004
2.010000000000012e-003	-1.432174e-004
2.020000000000012e-003	-1.432175e-004
2.030000000000012e-003	-1.432177e-004
2.040000000000012e-003	-1.432178e-004
2.050000000000012e-003	-1.432179e-004
2.060000000000012e-003	-1.432180e-004
2.070000000000012e-003	-1.432181e-004
2.080000000000012e-003	-1.432182e-004
2.090000000000012e-003	-1.432183e-004
2.100000000000012e-003	-1.432184e-004
2.110000000000012e-003	-1.432185e-004
2.120000000000012e-003	-1.432186e-004
2.130000000000012e-003	-1.432187e-004
2.140000000000012e-003	-1.432188e-004
2.150000000000012e-003	-1.432189e-004
2.160000000000012e-003	-1.432190e-004
2.170000000000012e-003	-1.432191e-004
2.180000000000012e-003	-1.432192e-004
2.190000000000012e-003	-1.432193e-004
2.200000000000012e-003	-1.432194e-004
2.210000000000012e-003	-1.432195e-004
2.220000000000012e-003	-1.432196e-004
2.230000000000012e-003	-1.432197e-004
2.240000000000012e-003	-1.432198e-004
2.250000000000012e-003	-1.432199e-004
2.260000000000012e-003	-1.432200e-004
2.270000000000013e-003	-1.432201e-004
2.280000000000013e-003	-1.432202e-004
2.290000000000013e-003	-1.432203e-004
2.300000000000013e-003	-1.432204e-004
2.310000000000013e-003	-1.432205e-004
2.320000000000013e-003	-1.432205e-004
2.330000000000013e-003	-1.432206e-004
2.340000000000013e-003	-1.432207e-004
2.350000000000013e-003	-1.432208e-004
2.360000000000013e-003	-1.432209e-004
2.370000000000013e-003	-1.432210e-004
2.380000000000013e-003	-1.432211e-004
2.390000000000013e-003	-1.432211e-004
2.400000000000013e-003	-1.432212e-004
2.410000000000013e-003	-1.432213e-004
2.420000000000013e-003	-1.432214e-004
2.430000000000013e-003	-1.432215e-004
2.440000000000013e-003	-1.432216e-004
2.450000000000013e-003	-1.432216e-004
2.460000000000013e-003	-1.432217e-004
2.470000000000013e-003	-1.432218e-004
2.480000000000013e-003	-1.432219e-004
2.490000000000013e-003	-1.432220e-004
2.500000000000013e-003	-1.432220e-004
2.510000000000013e-003	-1.432221e-004
2.520000000000013e-003	-1.432222e-004
2.530000000000013e-003	-1.432223e-004
2.540000000000013e-003	-1.432224e-004
2.550000000000013e-003	-1.432224e-004
2.560000000000013e-003	-1.432225e-004
2.570000000000013e-003	-1.432226e-004
2.580000000000013e-003	-1.432227e-004
2.590000000000013e-003	-1.432227e-004
2.600000000000013e-003	-1.432228e-004
2.610000000000013e-003	-1.432229e-004
2.620000000000013e-003	-1.432230e-004
2.630000000000013e-003	-1.432230e-004
2.640000000000013e-003	-1.432231e-004
2.650000000000014e-003	-1.432232e-004
2.660000000000014e-003	-1.432233e-004
2.670000000000014e-003	-1.432233e-004
2.680000000000014e-003	-1.432234e-004
2.690000000000014e-003	-1.432235e-004
2.700000000000014e-003	-1.432235e-004
2.710000000000014e-003	-1.432236e-004
2.720000000000014e-003	-1.432237e-004
2.730000000000014e-003	-1.432237e-004
2.740000000000014e-003	-1.432238e-004
2.750000000000014e-003	-1.432239e-004
2.760000000000014e-003	-1.432240e-004
2.770000000000014e-003	-1.432240e-004
2.780000000000014e-003	-1.432241e-004
2.790000000000014e-003	-1.432242e-004
2.800000000000014e-003	-1.432242e-004
2.810000000000014e-003	-1.432243e-004
2.820000000000014e-003	-1.432244e-004
2.830000000000014e-003	-1.432244e-004
2.840000000000014e-003	-1.432245e-004
2.850000000000014e-003	-1.432246e-004
2.860000000000014e-003	-1.432246e-004
2.870000000000014e-003	-1.432247e-004
2.880000000000014e-003	-1.432248e-004
2.890000000000014e-003	-1.432248e-004
2.900000000000014e-003	-1.432249e-004
2.910000000000014e-003	-1.432250e-004
2.920000000000014e-003	-1.432250e-004
2.930000000000014e-003	-1.432251e-004
2.940000000000014e-003	-1.432252e-004
2.950000000000014e-003	-1.432252e-004
2.960000000000014e-003	-1.432253e-004
2.970000000000014e-003	-1.432254e-004
2.980000000000014e-003	-1.432254e-004
2.990000000000014e-003	-1.432255e-004
3.000000000000000e-003	-1.432256e-004
